repository,number,author,isApprove
"microsoft/Typescript",58083,"jakebailey",true
"microsoft/Typescript",58085,"andrewbranch",false
"microsoft/Typescript",58085,"jakebailey",true
"microsoft/Typescript",58085,"weswigham",false
"microsoft/Typescript",58086,"jakebailey",true
"microsoft/Typescript",58086,"weswigham",false
"microsoft/Typescript",58087,"jakebailey",false
"microsoft/Typescript",58087,"sandersn",true
"microsoft/Typescript",58093,"andrewbranch",false
"microsoft/Typescript",58093,"jakebailey",true
"microsoft/Typescript",58093,"sheetalkamat",true
"microsoft/Typescript",58095,"sheetalkamat",true
"microsoft/Typescript",58098,"jakebailey",true
"microsoft/Typescript",58103,"jakebailey",true
"microsoft/Typescript",58105,"jakebailey",true
"microsoft/Typescript",58116,"DanielRosenwasser",true
"microsoft/Typescript",58117,"DanielRosenwasser",true
"microsoft/Typescript",58120,"andrewbranch",true
"microsoft/Typescript",58120,"jakebailey",true
"microsoft/Typescript",58123,"weswigham",true
"microsoft/Typescript",58124,"andrewbranch",false
"microsoft/Typescript",58124,"gabritto",true
"microsoft/Typescript",58124,"jakebailey",true
"microsoft/Typescript",58135,"DanielRosenwasser",true
"microsoft/Typescript",58139,"jakebailey",true
"microsoft/Typescript",58139,"sheetalkamat",false
"microsoft/Typescript",58140,"RyanCavanaugh",true
"microsoft/Typescript",58140,"rbuckton",true
"microsoft/Typescript",58155,"RyanCavanaugh",true
"microsoft/Typescript",58157,"gabritto",true
"microsoft/Typescript",58165,"jakebailey",true
"microsoft/Typescript",58165,"weswigham",false
"microsoft/Typescript",58168,"RyanCavanaugh",true
"microsoft/Typescript",58168,"jakebailey",true
"microsoft/Typescript",58169,"weswigham",true
"microsoft/Typescript",58171,"RyanCavanaugh",true
"microsoft/Typescript",58172,"weswigham",true
"microsoft/Typescript",58176,"andrewbranch",true
"microsoft/Typescript",58176,"jakebailey",true
"microsoft/Typescript",58176,"sheetalkamat",true
"microsoft/Typescript",58176,"weswigham",false
"microsoft/Typescript",58177,"a-tarasyuk",false
"microsoft/Typescript",58177,"weswigham",true
"microsoft/Typescript",58183,"jakebailey",true
"microsoft/Typescript",58186,"Andarist",false
"microsoft/Typescript",58186,"andrewbranch",true
"microsoft/Typescript",58186,"jakebailey",false
"microsoft/Typescript",58201,"dragomirtitian",false
"microsoft/Typescript",58201,"fatcerberus",false
"microsoft/Typescript",58201,"h-joo",false
"microsoft/Typescript",58201,"jakebailey",true
"microsoft/Typescript",58201,"robpalme",false
"microsoft/Typescript",58201,"sandersn",false
"microsoft/Typescript",58201,"sheetalkamat",false
"microsoft/Typescript",58201,"weswigham",true
"microsoft/Typescript",58203,"Andarist",false
"microsoft/Typescript",58203,"DanielRosenwasser",false
"microsoft/Typescript",58203,"fatcerberus",false
"microsoft/Typescript",58203,"jakebailey",true
"microsoft/Typescript",58212,"DanielRosenwasser",false
"microsoft/Typescript",58212,"RyanCavanaugh",false
"microsoft/Typescript",58212,"jakebailey",true
"microsoft/Typescript",58213,"DanielRosenwasser",true
"microsoft/Typescript",58216,"armanio123",true
"microsoft/Typescript",58216,"gabritto",true
"microsoft/Typescript",58217,"jakebailey",true
"microsoft/Typescript",58220,"andrewbranch",true
"microsoft/Typescript",58220,"gabritto",false
"microsoft/Typescript",58220,"weswigham",true
"microsoft/Typescript",58221,"dragomirtitian",false
"microsoft/Typescript",58221,"weswigham",true
"microsoft/Typescript",58222,"Jack-Works",false
"microsoft/Typescript",58222,"bakkot",false
"microsoft/Typescript",58222,"rbuckton",true
"microsoft/Typescript",58227,"RyanCavanaugh",true
"microsoft/Typescript",58227,"sheetalkamat",true
"microsoft/Typescript",58228,"DanielRosenwasser",true
"microsoft/Typescript",58228,"rbuckton",true
"microsoft/Typescript",58229,"jakebailey",false
"microsoft/Typescript",58229,"sheetalkamat",true
"microsoft/Typescript",58230,"jakebailey",true
"microsoft/Typescript",58233,"DanielRosenwasser",false
"microsoft/Typescript",58233,"jakebailey",true
"microsoft/Typescript",58233,"rbuckton",true
"microsoft/Typescript",58239,"DanielRosenwasser",true
"microsoft/Typescript",58242,"rbuckton",true
"microsoft/Typescript",58243,"Renegade334",false
"microsoft/Typescript",58243,"jakebailey",false
"microsoft/Typescript",58243,"rbuckton",false
"microsoft/Typescript",58243,"sandersn",true
"microsoft/Typescript",58243,"weswigham",false
"microsoft/Typescript",58251,"weswigham",true
"microsoft/Typescript",58252,"fatcerberus",false
"microsoft/Typescript",58252,"jakebailey",true
"microsoft/Typescript",58254,"RyanCavanaugh",true
"microsoft/Typescript",58254,"andrewbranch",false
"microsoft/Typescript",58254,"jakebailey",false
"microsoft/Typescript",58254,"sheetalkamat",true
"microsoft/Typescript",58255,"andrewbranch",true
"microsoft/Typescript",58255,"jakebailey",true
"microsoft/Typescript",58257,"andrewbranch",true
"microsoft/Typescript",58260,"DanielRosenwasser",false
"microsoft/Typescript",58260,"MichaelMitchell-at",false
"microsoft/Typescript",58260,"andrewbranch",false
"microsoft/Typescript",58260,"dragomirtitian",false
"microsoft/Typescript",58260,"h-joo",false
"microsoft/Typescript",58260,"jakebailey",true
"microsoft/Typescript",58260,"sheetalkamat",false
"microsoft/Typescript",58261,"DanielRosenwasser",true
"microsoft/Typescript",58261,"jakebailey",true
"microsoft/Typescript",58261,"robpalme",false
"microsoft/Typescript",58261,"sheetalkamat",false
"microsoft/Typescript",58261,"weswigham",false
"microsoft/Typescript",58263,"andrewbranch",true
"microsoft/Typescript",58263,"jakebailey",true
"microsoft/Typescript",58264,"gabritto",true
"microsoft/Typescript",58289,"graphemecluster",false
"microsoft/Typescript",58289,"jakebailey",false
"microsoft/Typescript",58289,"rbuckton",true
"microsoft/Typescript",58292,"Andarist",false
"microsoft/Typescript",58292,"ahejlsberg",true
"microsoft/Typescript",58295,"DanielRosenwasser",true
"microsoft/Typescript",58295,"graphemecluster",false
"microsoft/Typescript",58295,"jakebailey",true
"microsoft/Typescript",58295,"rbuckton",false
"microsoft/Typescript",58295,"weswigham",true
"microsoft/Typescript",58297,"DanielRosenwasser",true
"microsoft/Typescript",58306,"DanielRosenwasser",true
"microsoft/Typescript",58308,"jakebailey",true
"microsoft/Typescript",58308,"sheetalkamat",false
"microsoft/Typescript",58309,"DanielRosenwasser",true
"microsoft/Typescript",58310,"gabritto",true
"microsoft/Typescript",58310,"jakebailey",true
"microsoft/Typescript",58311,"Josh-Cena",false
"microsoft/Typescript",58311,"graphemecluster",false
"microsoft/Typescript",58311,"jakebailey",false
"microsoft/Typescript",58311,"rbuckton",true
"microsoft/Typescript",58311,"sheetalkamat",true
"microsoft/Typescript",58313,"DanielRosenwasser",true
"microsoft/Typescript",58313,"jakebailey",false
"microsoft/Typescript",58317,"DanielRosenwasser",true
"microsoft/Typescript",58317,"sheetalkamat",true
"microsoft/Typescript",58318,"andrewbranch",true
"microsoft/Typescript",58318,"gabritto",false
"microsoft/Typescript",58318,"sheetalkamat",true
"microsoft/Typescript",58318,"weswigham",true
"microsoft/Typescript",58320,"graphemecluster",false
"microsoft/Typescript",58320,"jakebailey",false
"microsoft/Typescript",58320,"rbuckton",true
"microsoft/Typescript",58326,"andrewbranch",true
"microsoft/Typescript",58326,"sandersn",true
"microsoft/Typescript",58333,"andrewbranch",true
"microsoft/Typescript",58333,"jakebailey",false
"microsoft/Typescript",58333,"sheetalkamat",false
"microsoft/Typescript",58333,"weswigham",true
"microsoft/Typescript",58335,"RyanCavanaugh",true
"microsoft/Typescript",58335,"jakebailey",true
"microsoft/Typescript",58337,"jakebailey",true
"microsoft/Typescript",58337,"weswigham",true
"microsoft/Typescript",58338,"bossike",false
"microsoft/Typescript",58339,"DanielRosenwasser",true
"microsoft/Typescript",58339,"jakebailey",true
"microsoft/Typescript",58339,"rbuckton",false
